Name,Pos,Org,Top 100,Org Rk,Age,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,Arm,Avg EV,Max EV,FV,playerId
"Lewin Diaz","1B","MIA",114,6,"23.9111111","45 / 50",40,55,"50 / 55","60 / 60","45 / 40","55 / 60","50 / 50",91,107,"50","18365"
"Isaac Paredes","3B","DET",115,6,"21.6638888","55 / 60",55,70,"40 / 45","50 / 50","30 / 20","40 / 45","55 / 55",87,106,"50","20036"
"Ed Howard","SS","CHC",,4,"18.7194444","25 / 50",50,55,"20 / 50","45 / 55","50 / 55","45 / 55","55 / 55",,,"45+",
"Erick Pena","CF","KCR",,5,"17.6583333","25 / 55",,,"25 / 55","45 / 55","55 / 50","40 / 50","55 / 55",,,"45+",
"Brett Baty","3B","NYM",,4,"20.9277777","35 / 55",55,50,"30 / 60","65 / 65","45 / 40","45 / 50","50 / 50",91,106,"45+","sa3010869"
"Kyle Isbel","LF","KCR",,7,"23.6222222","45 / 55",45,55,"30 / 50","50 / 50","50 / 50","45 / 55","50 / 50",89,109,"45+","sa3006861"
"Francisco Alvarez","C","NYM",,6,"18.9111111","25 / 55",55,50,"25 / 50","50 / 55","45 / 40","45 / 55","55 / 55",89,104,"45+","sa3010862"
"Noelvi Marte","SS","SEA",,7,"19.0027777","20 / 50",50,50,"25 / 60","50 / 60","60 / 55","40 / 50","60 / 60",87,103,"45+","sa3008745"
"Hunter Bishop","CF","SFG",,4,"22.3111111","30 / 45",45,45,"35 / 60","65 / 65","60 / 55","45 / 50","35 / 40",91,110,"45+","sa3011413"
"Patrick Bailey","C","SFG",,5,"21.3833333","35 / 50",55,55,"30 / 45","50 / 50","30 / 30","40 / 50","55 / 55",,,"45+",
"Luis Matos","CF","SFG",,6,"18.7194444","25 / 50",45,50,"20 / 50","50 / 60","60 / 60","45 / 50","50 / 50",87,106,"45+","sa3008756"
"Jonathan India","3B","CIN",,5,"23.8388888","45 / 55",60,50,"40 / 45","50 / 50","50 / 45","50 / 55","55 / 55",87,106,"45+","sa3008178"
"Austin Hendrick","RF","CIN",,6,"19.3388888","20 / 40",,,"25 / 60","60 / 70","50 / 45","45 / 50","55 / 55",,,"45+",
"Wilderd Patino","CF","ARI",,9,"19.2472222","20 / 45",50,40,"30 / 50","45 / 55","60 / 60","45 / 55","60 / 60",89,107,"45+","sa3007874"
"Diego Cartaya","C","LAD",,4,"19.1111111","20 / 50",40,50,"25 / 55","50 / 60","40 / 30","40 / 50","60 / 60",86,105,"45+","sa3008742"
"Andy Pages","CF","LAD",,5,"19.8583333","20 / 40",55,45,"25 / 65","55 / 60","50 / 50","45 / 50","60 / 60",89,107,"45+","sa3005625"
"Robert Puason","SS","OAK",,2,"18.1","20 / 50",,,"20 / 50","45 / 60","60 / 55","45 / 55","60 / 60",,,"45+",
"Daniel Johnson","RF","CLE",,7,"25.2666666","45 / 50",50,45,"40 / 45","55 / 55","70 / 70","50 / 55","80 / 80",89,116,"45+","19643"
"Bo Naylor","C","CLE",,9,"20.6555555","30 / 45",45,40,"35 / 50","55 / 60","50 / 40","40 / 45","55 / 55",89,104,"45+","sa3008247"
"Bryson Stott","SS","PHI",,3,"23.0305555","30 / 50",50,55,"30 / 50","50 / 55","55 / 50","45 / 50","50 / 50",85,101,"45+","sa3011443"
"Jesus Sanchez","RF","MIA",,7,"23.0277777","30 / 40",35,45,"30 / 50","60 / 65","50 / 50","50 / 55","60 / 60",92,111,"45+","19913"
"Monte Harrison","CF","MIA",,8,"25.1861111","30 / 35",50,35,"40 / 45","65 / 65","60 / 60","60 / 60","70 / 70",93,113,"45+","17216"
"Ryan Vilade","3B","COL",,3,"21.6638888","35 / 50",50,60,"30 / 50","55 / 60","45 / 40","45 / 50","55 / 55",88,107,"45+","sa3004256"
"Jared Oliva","CF","PIT",,9,"24.8888888","40 / 50",55,45,"40 / 45","55 / 55","60 / 60","50 / 55","50 / 50",88,,"45+","19968"
"Mario Feliciano","C","MIL",,2,"21.9083333","35 / 55",35,55,"30 / 45","50 / 55","30 / 30","35 / 45","55 / 55",91,108,"45+","sa917954"
"Garrett Mitchell","CF","MIL",,3,"22.1194444","35 / 50",,,"30 / 45","55 / 55","70 / 70","45 / 55","55 / 55",89,107,"45+",
"Tristen Lutz","RF","MIL",,4,"22.1527777","30 / 45",50,40,"30 / 55","60 / 60","50 / 45","40 / 45","60 / 60",88,107,"45+","sa3004968"
"Josh Jung","3B","TEX",,4,"22.6805555","35 / 55",50,45,"30 / 50","55 / 55","45 / 40","45 / 50","55 / 55",87,,"45+","sa3011468"
"Anderson Tejeda","SS","TEX",,5,"22.4611111","30 / 40",50,35,"35 / 55","55 / 60","55 / 55","45 / 50","60 / 60",89,,"45+","19909"
"Yeison Santana","SS","SDP",,8,"19.8611111","25 / 55",45,55,"20 / 50","40 / 50","55 / 55","45 / 55","55 / 60",87,103,"45","sa3005730"
"Keoni Cavaco","3B","MIN",,7,"19.375","20 / 45",45,45,"25 / 55","55 / 60","60 / 55","40 / 50","55 / 55",85,103,"45","sa3010706"
"Gilberto Celestino","CF","MIN",,8,"21.6777777","35 / 55",55,55,"30 / 35","40 / 40","60 / 60","50 / 60","60 / 60",90,104,"45","sa914313"
"Blake Hunt","C","SDP",,10,"21.9361111","30 / 50",50,50,"30 / 40","50 / 55","40 / 30","45 / 50","60 / 60",88,103,"45","sa3004153"
"Cole Roederer","LF","CHC",,6,"21.0638888","35 / 55",45,55,"35 / 55","50 / 55","50 / 45","45 / 55","45 / 45",85,103,"45","sa3008184"
"Gabriel Moreno","C","TOR",,8,"20.675","25 / 50",45,60,"30 / 45","45 / 50","45 / 40","45 / 55","55 / 55",87,103,"45","sa3003226"
"Khalil Lee","RF","KCR",,8,"22.3083333","30 / 40",55,40,"35 / 45","55 / 60","55 / 50","45 / 55","60 / 60",89,108,"45","sa917996"
"Nick Loftin","SS","KCR",,9,"22.0611111","35 / 50",,,"30 / 45","50 / 50","55 / 55","45 / 50","60 / 60",89,102,"45",
"Pete Crow-Armstrong","CF","NYM",,8,"18.5611111","25 / 50",,,"20 / 40","45 / 50","60 / 60","50 / 70","50 / 50",,,"45",
"Cal Raleigh","C","SEA",,8,"23.8916666","35 / 40",55,40,"40 / 50","55 / 55","40 / 40","45 / 50","45 / 45",88,108,"45","sa3008377"
"Estevan Florial","CF","NYY",,8,"22.8944444","30 / 35",55,30,"40 / 55","60 / 60","70 / 70","45 / 50","80 / 80",90,110,"45","19151"
"Oswald Peraza","SS","NYY",,9,"20.3388888","35 / 60",50,55,"30 / 45","40 / 45","60 / 60","55 / 60","55 / 55",87,106,"45","sa3003305"
"Anthony Volpe","SS","NYY",,12,"19.4694444","25 / 55",50,55,"20 / 40","40 / 45","50 / 50","50 / 55","55 / 55",86,102,"45","sa3010868"
"Kyren Paris","SS","LAA",,5,"18.9333333","20 / 50",,,"20 / 45","45 / 55","60 / 60","45 / 55","60 / 60",,,"45","sa3011768"
"Will Wilson","2B","SFG",,7,"22.2388888","30 / 50",50,50,"30 / 45","50 / 50","50 / 50","45 / 50","50 / 50",86,103,"45","sa3009871"
"Arol Vera","SS","LAA",,6,"18.0972222","20 / 45",,,"20 / 55","40 / 60","50 / 45","45 / 50","55 / 60",,,"45",
"Luis Toribio","3B","SFG",,8,"20.0527777","20 / 50",50,50,"25 / 60","60 / 65","40 / 30","40 / 45","55 / 55",93,109,"45","sa3005541"
"Jeremiah Jackson","3B","LAA",,7,"20.5583333","30 / 40",45,40,"35 / 60","55 / 60","55 / 55","40 / 50","55 / 55",92,106,"45","sa3007740"
"Alexander Canario","RF","SFG",,9,"20.4444444","20 / 45",45,40,"25 / 60","55 / 60","50 / 45","40 / 50","60 / 60",90,107,"45","sa3003316"
"Michael Siani","CF","CIN",,8,"21.2527777","35 / 50",45,55,"30 / 35","40 / 45","60 / 60","55 / 65","60 / 60",83,100,"45","sa3008182"
"Kody Hoese","3B","LAD",,6,"23.2611111","35 / 50",50,50,"35 / 55","50 / 50","45 / 40","45 / 50","50 / 50",88,110,"45","sa3010021"
"Michael Busch","2B","LAD",,7,"22.9388888","35 / 55",60,50,"35 / 55","60 / 60","50 / 45","30 / 40","50 / 50",,106,"45","sa3011540"
"Miguel Vargas","3B","LAD",,8,"20.9166666","35 / 60",55,60,"30 / 50","50 / 55","45 / 40","40 / 45","55 / 55",89,104,"45","sa3006896"
"Logan Davidson","SS","OAK",,3,"22.8361111","30 / 45",50,50,"30 / 50","55 / 55","55 / 50","45 / 50","55 / 55",86,,"45","sa918676"
"Jacob Amaya","SS","LAD",,9,"22.1222222","35 / 60",70,60,"30 / 40","40 / 45","55 / 55","45 / 55","50 / 50",89,105,"45","sa3005081"
"Tyler Soderstrom","C","OAK",,4,"18.8972222","25 / 60",,,"20 / 50","45 / 55","40 / 40","30 / 45","50 / 50",,,"45",
"Nick Allen","SS","OAK",,6,"22.025","35 / 50",40,60,"20 / 30","30 / 30","50 / 50","55 / 70","60 / 60",85,,"45","sa3004723"
"Brayan Buelvas","CF","OAK",,7,"18.3583333","25 / 60",45,60,"20 / 50","45 / 50","60 / 55","45 / 55","55 / 55",89,,"45","sa3008868"
"Alex De Jesus","3B","LAD",,13,"18.5694444","20 / 50",40,55,"20 / 55","45 / 60","40 / 30","40 / 50","55 / 60",87,106,"45","sa3008842"
"Shea Langeliers","C","ATL",,7,"22.9138888","30 / 50",50,50,"30 / 50","55 / 55","35 / 30","50 / 55","60 / 60",88,106,"45","sa3010329"
"Braden Shewmake","SS","ATL",,8,"22.9111111","35 / 55",45,60,"30 / 40","45 / 50","55 / 55","50 / 55","55 / 55",88,103,"45","sa3010332"
"Alex Jackson","C","ATL",,10,"24.8111111","35 / 40",30,55,"50 / 55","70 / 70","30 / 30","45 / 50","60 / 60",91,112,"45","17276"
"Luis Garcia","SS","PHI",,4,"19.9888888","25 / 55",50,50,"20 / 40","45 / 50","55 / 55","50 / 55","60 / 60",81,101,"45","sa3007295"
"Rafael Marchan","C","PHI",,6,"21.6444444","35 / 60",50,70,"20 / 30","40 / 45","45 / 40","50 / 70","55 / 55",83,101,"45","21646"
"Simon Muzziotti","CF","PHI",,7,"21.8055555","35 / 60",35,60,"30 / 35","40 / 45","60 / 60","45 / 55","55 / 55",84,102,"45","sa917376"
"Mickey Moniak","CF","PHI",,8,"22.4277777","45 / 55",35,55,"30 / 45","45 / 50","55 / 55","50 / 55","50 / 50",88,106,"45","19956"
"Taylor Walls","SS","TBR",,8,"24.2694444","50 / 60",60,60,"35 / 40","40 / 40","50 / 50","50 / 55","50 / 50",88,102,"45","sa915802"
"Greg Jones","SS","TBR",,11,"22.6111111","30 / 45",50,40,"30 / 50","50 / 55","70 / 70","40 / 45","55 / 55",87,106,"45","sa3010151"
"Alejandro Pie","SS","TBR",,14,"18.7138888","20 / 50",40,50,"20 / 50","45 / 60","60 / 55","40 / 50","55 / 60",80,102,"45","sa3008754"
"Gunnar Henderson","3B","BAL",,6,"19.3","25 / 50",50,50,"20 / 50","50 / 55","50 / 50","45 / 55","60 / 60",85,104,"45","sa3011484"
"Connor Scott","CF","MIA",,10,"21.025","20 / 50",50,50,"20 / 50","50 / 55","70 / 65","45 / 55","50 / 60",88,105,"45","sa3008080"
"Ronaldo Hernandez","C","TBR",,15,"22.9333333","30 / 45",30,45,"40 / 50","60 / 60","30 / 30","40 / 45","70 / 70",87,110,"45","sa881850"
"Terrin Vavra","2B","BAL",,7,"23.4305555","35 / 55",60,45,"35 / 45","40 / 45","50 / 50","50 / 55","50 / 50",87,102,"45","sa3007643"
"Tyler Frank","2B","TBR",,17,"23.7555555","35 / 55",55,55,"30 / 40","45 / 45","50 / 50","45 / 50","45 / 45",86,107,"45","sa3006660"
"Ryan McKenna","CF","BAL",,9,"23.675","40 / 50",60,50,"30 / 35","45 / 45","70 / 70","55 / 60","50 / 50",88,107,"45","sa875055"
"Kameron Misner","RF","MIA",,13,"22.775","30 / 45",55,45,"30 / 60","65 / 70","60 / 55","50 / 55","55 / 55",87,106,"45","sa3011656"
"Jerar Encarnacion","RF","MIA",,14,"22.9861111","35 / 50",40,50,"45 / 55","60 / 60","30 / 30","40 / 45","55 / 55",91,109,"45","sa943817"
"Jordan Westburg","2B","BAL",,11,"21.6638888","35 / 55",50,45,"30 / 45","50 / 50","55 / 55","40 / 45","45 / 45",93,110,"45",
"Peyton Burdick","RF","MIA",,15,"23.6416666","30 / 45",50,50,"35 / 55","60 / 65","55 / 55","40 / 50","60 / 60",91,109,"45","sa3009876"
"Kyle Stowers","RF","BAL",,12,"22.7916666","30 / 45",50,45,"35 / 55","50 / 55","50 / 50","50 / 55","60 / 60",88,110,"45","sa1115829"
"Michael Toglia","1B","COL",,4,"22.1694444","35 / 55",55,45,"35 / 55","55 / 60","40 / 40","55 / 60","55 / 55",90,107,"45","sa3010393"
"Nasim Nunez","SS","MIA",,16,"20.1638888","25 / 55",45,45,"20 / 40","40 / 45","60 / 60","55 / 70","60 / 60",84,97,"45","sa3010695"
"Colton Welker","3B","COL",,5,"23.0222222","45 / 55",45,60,"40 / 45","50 / 50","35 / 30","45 / 45","55 / 55",87,104,"45","sa917962"
"Yusniel Diaz","RF","BAL",,14,"24.0277777","45 / 55",55,55,"40 / 50","50 / 50","50 / 50","50 / 55","55 / 55",88,109,"45","sa912848"
"Ji-Hwan Bae","SS","PIT",,11,"21.225","35 / 55",55,60,"30 / 40","35 / 45","65 / 65","40 / 50","50 / 55",85,99,"45","sa3006895"
"Rodolfo Castro","2B","PIT",,12,"21.4055555","30 / 40",40,45,"30 / 50","50 / 55","55 / 50","45 / 50","50 / 50",89,104,"45","sa917362"
"Wenceel Perez","SS","DET",,9,"20.9638888","25 / 55",55,50,"20 / 40","35 / 45","60 / 60","40 / 50","50 / 55",84,100,"45","sa3003326"
"Dillon Dingler","C","DET",,10,"22.0833333","35 / 50",50,55,"30 / 45","50 / 50","45 / 45","45 / 55","55 / 55",91,107,"45",
"Parker Meadows","CF","DET",,12,"20.9583333","20 / 45",50,45,"20 / 50","55 / 60","70 / 65","45 / 55","55 / 55",85,104,"45","sa3007943"
"Bobby Dalbec","3B","BOS",,4,"25.3","35 / 35",60,40,"50 / 55","70 / 70","40 / 40","50 / 55","70 / 70",92,110,"45","19966"
"Hudson Potts","3B","BOS",,5,"21.9694444","30 / 40",40,45,"45 / 50","60 / 60","40 / 40","40 / 45","55 / 55",89,112,"45","sa917936"
"Justin Foscue","2B","TEX",,7,"21.625","35 / 60",,60,"30 / 40","40 / 45","45 / 45","45 / 50","40 / 40",,,"45",
"Gilberto Jimenez","CF","BOS",,7,"20.275","25 / 55",40,60,"20 / 30","40 / 45","80 / 80","50 / 60","60 / 60",83,99,"45","sa3005507"
"Sherten Apostel","3B","TEX",,9,"21.6","40 / 50",70,45,"45 / 55","60 / 60","40 / 30","40 / 45","70 / 70",92,,"45","21794"
"Sam Huff","C","TEX",,11,"22.7583333","30 / 35",35,45,"40 / 55","70 / 70","20 / 20","35 / 45","60 / 60",91,109,"45","22209"
"Freudis Nova","3B","HOU",,2,"20.7638888","30 / 50",35,50,"35 / 55","50 / 60","50 / 45","40 / 50","70 / 70",83,104,"45","sa3003195"
"Robert Hassell","CF","SDP",,6,"19.1722222","25 / 60",,,"20 / 45","45 / 50","55 / 55","40 / 50","60 / 60",,,"45",
"Hudson Head","CF","SDP",,7,"19.525","25 / 60",50,60,"20 / 45","45 / 55","60 / 60","45 / 55","55 / 55",89,108,"45","sa3010889"
